 ,E2500init,E2500UC,E2500YR1,E3100init,E3100UC,E3100YR1,DDinit,DDUC,DDYR1,DDYR12,DDYR1re2,DGinit,DGUC,DGYR1,DGYR12,DGYR1re2,DuganYR2,EICPYR1C,EICPYR1F,EICPYR1L,EICPYR2C,EICPYR2F,EICPYR2L,LICinit,LICUC,LICYR1,LICYR12,LICYR1re2,LV1init,LV1UC,LV2init,LV2UC,LV3init,LV3UC,LVYR1,LVYR12,LVYR1re2,M1Ginit,M1GUC,M1GYR1,M2Dinit,M2DUC,M2DYR1,M3Dinit,M3DUC,M3DYR1,NDinit,NDUC,NDYR1,NDYR12,NDYR1re2
01fa9fcbd0523bfa5bf55389f7424d77,0,0,0,0,0,0,0,0,0,0,2,0,5,5,15,5,25,0,0,0,0,0,0,0,4,0,0,0,0,7,0,5,0,8,2,23,12,0,0,0,0,0,3,2,15,3,0,0,0,0,7
020063f351b5afe193e71a59bd919d37,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0212cbf805de8c61ffe0fbdc9d709a2d,0,0,0,0,0,0,0,0,10,6,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
021542724c5eee91ec96642600929ef8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,12,0,0,0,0,0,0,0,0,0
0227256f9923b37ba7bc807a805b2757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0
02415591359a3e0f935d4fd30ef739c8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
024f76b9eaadbe74292eb265b1adab67,3,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0251456e8a4787b0996d87318588eafb,0,0,0,1,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0254152a3cbdda6868427b39c9a1b52f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,5,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
02564f4d577914a27f64c08d4928ee38,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,49,20,19,48,2,1,0,4,0,0,2,2,7,0,0,0,0,0,0,0,0,0,1,19,21,28,29
0259f80eda686d13492f6b5eee18a62e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
025dc4f2a58c1694632356b9808efa58,0,0,0,0,0,0,0,8,2,1,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
025f8ceb43f4619037d434672343c406,0,0,0,0,0,0,0,3,5,0,6,0,3,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0
026536f261395dce4292036b5278ea1c,0,0,0,0,0,0,21,0,3,0,4,4,0,0,0,4,4,0,6,0,0,0,0,15,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0267c111e6b5bcd6bbb42de8db48bf8e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,86,0,0,0,0,0,0,0,0
026c02c7675da2f5dc5d03b51ae34a13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,2,0,0,10,2
02760543de1a135d2cd0887db6d8ceba,20,0,4,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
027d9daae95d4c7dcbee9f2b65ac519c,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
027fc08f194edb4da619e51d65e6cdf5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,4,0,0,0,0,0
028af4b2b4fa22431c50ba6df561b7d0,0,0,0,0,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
028db1b9bcc189adae825e15228db02a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,21,7,0,0,0,2,0,0,0,0,0,0,0
028dda7b6f6062f4a092234499fb90eb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,1,0,4,0,6,0,0,3,2,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0
028e7f8b6cd298b770dba2ad4696848f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02955789b84d4c275f6eaa9c790d6e0b,0,0,0,0,0,0,7,12,7,7,2,4,8,3,5,5,8,4,13,0,0,1,2,11,2,0,0,7,10,11,2,26,2,17,4,8,15,0,0,0,3,1,2,0,0,0,4,0,0,0,3
02a52d510e8fb53701b001689d24c039,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02a6f3b8ca292badf4cea0e454a04c99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,3,4,0,0,0,0,0
02a74455544da14c1896d10c99b7b491,2,2,1,0,3,3,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
02a9a2ac25def0dd0a61146acc4c84ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
02b1da3ef4652e9d90d2f0785cfd8973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,9,5,2,8,2,0,0,0,0,0
02b365dda7ef886994a312131602494f,20,0,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02b4794684be2825427896784a957de6,0,0,0,0,0,0,6,0,2,3,4,12,4,7,9,17,10,42,16,56,33,41,19,4,0,3,0,0,33,6,9,0,9,0,2,5,3,7,0,3,9,9,13,4,2,4,2,0,2,0,2
