OTUID,taxon,Genus
ea8083d09c0dfff5dfd7dcdf8f993c89,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Nostoc
55b956d2171204e55c3bb2e7a10f70e2,k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae; g__Nostoc; s__,Nostoc
c85c5540a017ab06566cab5c6dd7b597,k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae; g__Nostoc; s__,Nostoc
267feac6f9f35711c51fa15cac08107b,k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae; g__; s__,Nostoc
a432cf3cd75bd62b998be93b25262914,k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae; g__Nostoc; s__muscorum,Nostoc
032a86c7cfd774ae0471b478b6ef908a,k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae; g__Nostoc; s__muscorum,Nostoc
32b7330e09ef4689810e2d714831c2ef,k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae; g__; s__,Nostoc
9ccfc7d0beb2e22a73c168b208b0dc38,k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae; g__Nostoc; s__,Nostoc
b18af230cf368341f842736825f90313,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Parifilum
59ee0883e8d2e0ce39ec6293698481b0,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Parifilum
78996932d5bc04493c4bfdc8220f9abb,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Parifilum
9f9c010c1252569ace995d6240b9418f,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Parifilum
595812df3d0036be013eb39599fcdb77,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Parifilum
9c200972814ea22d8f6df6c55f226a70,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Parifilum
dcad926c0308f3a70d31af843e217faa,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Parifilum
4aec77478484f0e34a0fd0780b2c50e4,k__Bacteria; p__Cyanobacteria,Parifilum
5a2989a4c2985775d0974768e76041f5,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Parifilum
d075d0c08aebca9d0a769ea513d0c685,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Parifilum
f5596062efd6c9c62066791277180686,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Parifilum
8d0ffc05f53558aba3a16701a2ddbe9d,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Parifilum
9d9dbece5b4bb36b85ec2ccc7d97f36e,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Parifilum
8cede4e8f4e1959ba6d2bfdc04f3c996,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Parifilum
42b8964813baada5582f680f14846b41,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae,Parifilum
7b698e2c92945453ae04a8f698ebda15,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Parifilum
d79c7c1b056c2f360aafd84471c39502,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Parifilum
9280e2130442a637f76afe797b2ddc75,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Parifilum
f16e4c4756316855f9e2497044381b23,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Parifilum
2b68d1e3a9d0105f55a421d500281f90,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Parifilum
616fffce9730087d6958a0f3549b45bf,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Parifilum
b81064925d027717a3fe37baec638463,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Parifilum
bcbeac3a535baaf5507b4662ecf06a7f,k__Bacteria; p__Cyanobacteria,Parifilum
6654bb75962a87ff29f1e96d5c6a17e3,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Parifilum
50d4dfd71e43abd018dc625827570be8,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Planktothrix; s__,Planktothrix
1270402d7a97b0e3c338a9fff18740be,k__Bacteria; p__Cyanobacteria,Planktothrix
62ff51973fdd0f399636c48cc9050866,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Planktothrix; s__,Planktothrix
c2e15e4a5965ca3923e4054a922b84a0,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Oscillatoria; s__,Planktothrix
bdbcb69bc0d3457edb2724f0dd899d64,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Planktothrix
49cbf668016fb9ad69734805be055a16,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Planktothrix; s__,Planktothrix
cf6752bd387312990277264e427be950,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Planktothrix; s__,Planktothrix
5198544fb5d5ec38dee882e0ce3da27b,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Planktothrix; s__,Planktothrix
f387c99e3afca4b4161ceab1315409c2,k__Bacteria; p__Cyanobacteria,Planktothrix
46d23529c6aed7ba1a9e401f48907f83,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Leptolyngbya; s__,Pleurocapsa
15a81a82bb7db6f807e4ddda12c7d8b3,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Leptolyngbya; s__,Pleurocapsa
